video_id,video,method,metric_name,metric_value
37,horsejump-high,Oh,psnr,31.96269035
38,dog-agility,Oh,psnr,29.10383066
39,disc-jockey,Oh,psnr,30.09049349
40,hike,Oh,psnr,29.13575921
41,miami-surf,Oh,psnr,31.4609157
42,dance-jump,Oh,psnr,30.23738067
43,lindy-hop,Oh,psnr,28.86343172
44,tuk-tuk,Oh,psnr,31.02860102
45,judo,Oh,psnr,25.74307266
46,blackswan,Oh,psnr,31.52495492
47,boat,Oh,psnr,27.25092022
48,car-roundabout,Oh,psnr,30.1187922
49,loading,Oh,psnr,30.42471446
50,night-race,Oh,psnr,31.121229
51,dancing,Oh,psnr,33.07764408
52,paragliding,Oh,psnr,29.84798189
53,kite-walk,Oh,psnr,30.2770169
54,libby,Oh,psnr,31.93590793
55,drift-turn,Oh,psnr,29.07061159
56,rollerblade,Oh,psnr,32.0017349
57,kid-football,Oh,psnr,30.0682942
58,drift-chicane,Oh,psnr,31.18175966
59,lucia,Oh,psnr,31.12730141
60,color-run,Oh,psnr,27.10009179
61,lab-coat,Oh,psnr,34.91004292
62,hockey,Oh,psnr,33.87314877
63,elephant,Oh,psnr,33.46846339
64,dog-gooses,Oh,psnr,29.76136127
65,planes-water,Oh,psnr,31.76932829
66,india,Oh,psnr,29.38390369
67,dog,Oh,psnr,28.79213888
68,swing,Oh,psnr,31.68589644
69,kite-surf,Oh,psnr,32.18533699
70,mbike-trick,Oh,psnr,31.23050256
71,pigs,Oh,psnr,39.92551862
72,breakdance-flare,Oh,psnr,34.67566531
